StartOrder;WS01;OR03326;
AssignProduct;WS01;P00206;
RemoveProduct;WS01;P00317;
AssignProduct;WS01;P00210;
PickOrder;WS01;OR07360;P00210;
PickOrder;WS01;OR07360;P00210;
StartOrder;WS01;OR04251;
PickOrder;WS01;OR04251;P00472;
PickOrder;WS01;OR04251;P00210;
PickOrder;WS01;OR04251;P00472;
StartOrder;WS01;OR05768;
PickOrder;WS01;OR05768;P00206;
PickOrder;WS01;OR05768;P00206;
RemoveProduct;WS01;P00210;
AssignProduct;WS01;P00415;
PickOrder;WS01;OR05768;P00415;
PickOrder;WS01;OR05768;P00415;
StartOrder;WS01;OR01879;
PickOrder;WS01;OR01879;P00206;
PickOrder;WS01;OR01879;P00206;
PickOrder;WS01;OR01879;P00415;
PickOrder;WS01;OR01879;P00415;
StartOrder;WS01;OR02560;
PickOrder;WS01;OR02560;P00206;
PickOrder;WS01;OR02560;P00206;
RemoveProduct;WS01;P00415;
AssignProduct;WS01;P00387;
PickOrder;WS01;OR02560;P00387;
StartOrder;WS01;OR02952;
PickOrder;WS01;OR02952;P00206;
PickOrder;WS01;OR02952;P00387;
PickOrder;WS01;OR02952;P00206;
PickOrder;WS01;OR02952;P00206;
StartOrder;WS01;OR03905;
PickOrder;WS01;OR03905;P00206;
PickOrder;WS01;OR03905;P00206;
PickOrder;WS01;OR03905;P00206;
PickOrder;WS01;OR03905;P00387;
StartOrder;WS01;OR09482;
PickOrder;WS01;OR09482;P00206;
PickOrder;WS01;OR09482;P00387;
PickOrder;WS01;OR09482;P00387;
PickOrder;WS01;OR09482;P00387;
StartOrder;WS01;OR05458;
PickOrder;WS01;OR05458;P00206;
PickOrder;WS01;OR05458;P00206;
PickOrder;WS01;OR05458;P00206;
RemoveProduct;WS01;P00387;
AssignProduct;WS01;P00013;
PickOrder;WS01;OR05458;P00013;
StartOrder;WS01;OR01762;
PickOrder;WS01;OR01762;P00206;
PickOrder;WS01;OR01762;P00206;
RemoveProduct;WS01;P00013;
AssignProduct;WS01;P00130;
PickOrder;WS01;OR01762;P00130;
StartOrder;WS01;OR07435;
PickOrder;WS01;OR07435;P00206;
PickOrder;WS01;OR07435;P00206;
PickOrder;WS01;OR07435;P00206;
PickOrder;WS01;OR07435;P00206;
PickOrder;WS01;OR07435;P00206;
RemoveProduct;WS01;P00130;
AssignProduct;WS01;P00393;
PickOrder;WS01;OR07435;P00393;
PickOrder;WS01;OR07435;P00393;
StartOrder;WS01;OR05100;
PickOrder;WS01;OR05100;P00393;
PickOrder;WS01;OR05100;P00393;
PickOrder;WS01;OR05100;P00206;
StartOrder;WS01;OR04564;
PickOrder;WS01;OR04564;P00393;
PickOrder;WS01;OR04564;P00393;
PickOrder;WS01;OR04564;P00472;
PickOrder;WS01;OR04564;P00472;
StartOrder;WS01;OR08756;
PickOrder;WS01;OR08756;P00393;
PickOrder;WS01;OR08756;P00472;
PickOrder;WS01;OR08756;P00393;
RemoveProduct;WS01;P00206;
AssignProduct;WS01;P00334;
PickOrder;WS01;OR08756;P00334;
StartOrder;WS01;OR07440;
PickOrder;WS01;OR07440;P00334;
RemoveProduct;WS01;P00393;
AssignProduct;WS01;P00259;
PickOrder;WS01;OR07440;P00259;
PickOrder;WS01;OR07440;P00259;
StartOrder;WS01;OR09036;
PickOrder;WS01;OR09036;P00334;
RemoveProduct;WS01;P00334;
AssignProduct;WS01;P00217;
PickOrder;WS01;OR09036;P00217;
PickOrder;WS01;OR09036;P00217;
StartOrder;WS01;OR08548;
PickOrder;WS01;OR08548;P00259;
PickOrder;WS01;OR08548;P00259;
RemoveProduct;WS01;P00217;
AssignProduct;WS01;P00311;
PickOrder;WS01;OR08548;P00311;
PickOrder;WS01;OR08548;P00311;
PickOrder;WS01;OR08548;P00311;
StartOrder;WS01;OR05433;
PickOrder;WS01;OR05433;P00472;
PickOrder;WS01;OR05433;P00472;
PickOrder;WS01;OR05433;P00472;
RemoveProduct;WS01;P00259;
AssignProduct;WS01;P00491;
PickOrder;WS01;OR05433;P00491;
PickOrder;WS01;OR05433;P00491;
StartOrder;WS01;OR08226;
PickOrder;WS01;OR08226;P00491;
PickOrder;WS01;OR08226;P00491;
StartOrder;WS01;OR07489;
PickOrder;WS01;OR07489;P00491;
RemoveProduct;WS01;P00311;
AssignProduct;WS01;P00455;
PickOrder;WS01;OR07489;P00455;
StartOrder;WS01;OR02195;
PickOrder;WS01;OR02195;P00455;
PickOrder;WS01;OR02195;P00455;
PickOrder;WS01;OR02195;P00455;
RemoveProduct;WS01;P00472;
AssignProduct;WS01;P00148;
PickOrder;WS01;OR02195;P00148;
PickOrder;WS01;OR02195;P00148;
PickOrder;WS01;OR02195;P00148;
StartOrder;WS01;OR01252;
PickOrder;WS01;OR01252;P00455;
RemoveProduct;WS01;P00148;
AssignProduct;WS01;P00119;
PickOrder;WS01;OR01252;P00119;
StartOrder;WS01;OR07314;
PickOrder;WS01;OR07314;P00119;
PickOrder;WS01;OR07314;P00455;
PickOrder;WS01;OR07314;P00455;
PickOrder;WS01;OR07314;P00119;
PickOrder;WS01;OR07314;P00119;
PickOrder;WS01;OR07314;P00455;
PickOrder;WS01;OR07314;P00455;
PickOrder;WS01;OR07314;P00455;
StartOrder;WS01;OR04623;
PickOrder;WS01;OR04623;P00455;
PickOrder;WS01;OR04623;P00455;
RemoveProduct;WS01;P00119;
AssignProduct;WS01;P00238;
PickOrder;WS01;OR04623;P00238;
PickOrder;WS01;OR04623;P00238;
StartOrder;WS01;OR02349;
PickOrder;WS01;OR02349;P00238;
RemoveProduct;WS01;P00238;
AssignProduct;WS01;P00245;
PickOrder;WS01;OR02349;P00245;
PickOrder;WS01;OR06769;P00245;
PickOrder;WS01;OR06769;P00245;
StartOrder;WS01;OR07543;
PickOrder;WS01;OR07543;P00245;
PickOrder;WS01;OR07543;P00455;
PickOrder;WS01;OR07543;P00455;
StartOrder;WS01;OR03855;
PickOrder;WS01;OR03855;P00455;
PickOrder;WS01;OR03855;P00455;
PickOrder;WS01;OR03855;P00455;
RemoveProduct;WS01;P00245;
AssignProduct;WS01;P00206;
PickOrder;WS01;OR07543;P00206;
PickOrder;WS01;OR07543;P00206;
PickOrder;WS01;OR07543;P00206;
StartOrder;WS01;OR08664;
PickOrder;WS01;OR08664;P00455;
PickOrder;WS01;OR08664;P00206;
PickOrder;WS01;OR08664;P00206;
PickOrder;WS01;OR08664;P00206;
RemoveProduct;WS01;P00491;
AssignProduct;WS01;P00114;
PickOrder;WS01;OR08664;P00114;
PickOrder;WS01;OR08664;P00114;
StartOrder;WS01;OR00220;
PickOrder;WS01;OR00220;P00206;
PickOrder;WS01;OR00220;P00455;
PickOrder;WS01;OR00220;P00455;
PickOrder;WS01;OR00220;P00206;
PickOrder;WS01;OR00220;P00206;
RemoveProduct;WS01;P00114;
AssignProduct;WS01;P00391;
PickOrder;WS01;OR03855;P00391;
PickOrder;WS01;OR03855;P00391;
StartOrder;WS01;OR07254;
PickOrder;WS01;OR07254;P00391;
PickOrder;WS01;OR07254;P00391;
StartOrder;WS01;OR00305;
PickOrder;WS01;OR00305;P00391;
PickOrder;WS01;OR00305;P00455;
StartOrder;WS01;OR09378;
PickOrder;WS01;OR09378;P00455;
PickOrder;WS01;OR09378;P00206;
PickOrder;WS01;OR09378;P00455;
RemoveProduct;WS01;P00391;
AssignProduct;WS01;P00295;
PickOrder;WS01;OR09378;P00295;
StartOrder;WS01;OR08105;
PickOrder;WS01;OR08105;P00455;
PickOrder;WS01;OR08105;P00206;
PickOrder;WS01;OR08105;P00455;
PickOrder;WS01;OR08105;P00206;
PickOrder;WS01;OR08105;P00206;
RemoveProduct;WS01;P00295;
AssignProduct;WS01;P00288;
PickOrder;WS01;OR08105;P00288;
PickOrder;WS01;OR08105;P00288;
StartOrder;WS01;OR00175;
PickOrder;WS01;OR00175;P00206;
PickOrder;WS01;OR00175;P00206;
PickOrder;WS01;OR00175;P00288;
PickOrder;WS01;OR00175;P00206;
PickOrder;WS01;OR00175;P00288;
StartOrder;WS01;OR04859;
PickOrder;WS01;OR04859;P00455;
PickOrder;WS01;OR04859;P00288;
PickOrder;WS01;OR04859;P00288;
StartOrder;WS01;OR04602;
PickOrder;WS01;OR04602;P00455;
PickOrder;WS01;OR04602;P00455;
PickOrder;WS01;OR04602;P00206;
RemoveProduct;WS01;P00288;
AssignProduct;WS01;P00444;
PickOrder;WS01;OR04602;P00444;
PickOrder;WS01;OR04602;P00444;
StartOrder;WS01;OR04637;
PickOrder;WS01;OR04637;P00444;
PickOrder;WS01;OR04637;P00444;
RemoveProduct;WS01;P00206;
AssignProduct;WS01;P00356;
PickOrder;WS01;OR04637;P00356;
StartOrder;WS01;OR04828;
PickOrder;WS01;OR04828;P00455;
PickOrder;WS01;OR04828;P00455;
PickOrder;WS01;OR04828;P00444;
PickOrder;WS01;OR04828;P00455;
PickOrder;WS01;OR04828;P00444;
RemoveProduct;WS01;P00356;
AssignProduct;WS01;P00003;
PickOrder;WS01;OR04828;P00003;
StartOrder;WS01;OR04622;
PickOrder;WS01;OR04622;P00455;
PickOrder;WS01;OR04622;P00444;
PickOrder;WS01;OR04622;P00444;
RemoveProduct;WS01;P00003;
AssignProduct;WS01;P00438;
PickOrder;WS01;OR04622;P00438;
PickOrder;WS01;OR04622;P00438;
StartOrder;WS01;OR02300;
PickOrder;WS01;OR02300;P00444;
PickOrder;WS01;OR02300;P00444;
PickOrder;WS01;OR02300;P00444;
RemoveProduct;WS01;P00438;
AssignProduct;WS01;P00198;
PickOrder;WS01;OR02300;P00198;
PickOrder;WS01;OR02300;P00198;
StartOrder;WS01;OR08444;
PickOrder;WS01;OR08444;P00455;
PickOrder;WS01;OR08444;P00455;
RemoveProduct;WS01;P00198;
AssignProduct;WS01;P00407;
PickOrder;WS01;OR08444;P00407;
PickOrder;WS01;OR08444;P00407;
StartOrder;WS01;OR00797;
PickOrder;WS01;OR00797;P00455;
RemoveProduct;WS01;P00407;
AssignProduct;WS01;P00248;
PickOrder;WS01;OR00797;P00248;
PickOrder;WS01;OR00797;P00248;
StartOrder;WS01;OR07469;
PickOrder;WS01;OR07469;P00455;
PickOrder;WS01;OR07469;P00248;
StartOrder;WS01;OR00001;
PickOrder;WS01;OR00001;P00455;
PickOrder;WS01;OR00001;P00455;
RemoveProduct;WS01;P00248;
AssignProduct;WS01;P00375;
PickOrder;WS01;OR00001;P00375;
StartOrder;WS01;OR04247;
PickOrder;WS01;OR04247;P00375;
RemoveProduct;WS01;P00375;
AssignProduct;WS01;P00209;
PickOrder;WS01;OR04247;P00209;
StartOrder;WS01;OR08329;
PickOrder;WS01;OR08329;P00209;
RemoveProduct;WS01;P00209;
AssignProduct;WS01;P00428;
PickOrder;WS01;OR08329;P00428;
PickOrder;WS01;OR08329;P00428;
StartOrder;WS01;OR03756;
PickOrder;WS01;OR03756;P00455;
PickOrder;WS01;OR03756;P00455;
RemoveProduct;WS01;P00428;
AssignProduct;WS01;P00031;
PickOrder;WS01;OR00220;P00031;
StartOrder;WS01;OR04667;
PickOrder;WS01;OR04667;P00031;
StartOrder;WS01;OR02517;
PickOrder;WS01;OR02517;P00455;
PickOrder;WS01;OR02517;P00455;
RemoveProduct;WS01;P00031;
AssignProduct;WS01;P00010;
PickOrder;WS01;OR02517;P00010;
PickOrder;WS01;OR02517;P00010;
PickOrder;WS01;OR02517;P00010;
StartOrder;WS01;OR02847;
PickOrder;WS01;OR02847;P00455;
PickOrder;WS01;OR02847;P00010;
StartOrder;WS01;OR00989;
PickOrder;WS01;OR00989;P00455;
PickOrder;WS01;OR00989;P00010;
PickOrder;WS01;OR00989;P00455;
StartOrder;WS01;OR04956;
PickOrder;WS01;OR04956;P00455;
PickOrder;WS01;OR04956;P00455;
RemoveProduct;WS01;P00010;
AssignProduct;WS01;P00297;
PickOrder;WS01;OR04956;P00297;
PickOrder;WS01;OR04956;P00297;
StartOrder;WS01;OR04158;
PickOrder;WS01;OR04158;P00297;
PickOrder;WS01;OR04158;P00297;
PickOrder;WS01;OR04158;P00455;
PickOrder;WS01;OR04158;P00455;
StartOrder;WS01;OR05241;
PickOrder;WS01;OR05241;P00297;
PickOrder;WS01;OR05241;P00455;
PickOrder;WS01;OR05241;P00297;
PickOrder;WS01;OR05241;P00297;
PickOrder;WS01;OR05241;P00455;
StartOrder;WS01;OR01124;
PickOrder;WS01;OR01124;P00455;
PickOrder;WS01;OR01124;P00455;
RemoveProduct;WS01;P00297;
AssignProduct;WS01;P00252;
PickOrder;WS01;OR01124;P00252;
PickOrder;WS01;OR01124;P00252;
StartOrder;WS01;OR04865;
PickOrder;WS01;OR04865;P00455;
PickOrder;WS01;OR04865;P00455;
PickOrder;WS01;OR04865;P00252;
PickOrder;WS01;OR04865;P00252;
PickOrder;WS01;OR04865;P00455;
StartOrder;WS01;OR01221;
PickOrder;WS01;OR01221;P00455;
PickOrder;WS01;OR01221;P00455;
PickOrder;WS01;OR01221;P00455;
RemoveProduct;WS01;P00252;
AssignProduct;WS01;P00286;
PickOrder;WS01;OR01221;P00286;
PickOrder;WS01;OR01221;P00286;
StartOrder;WS01;OR08194;
PickOrder;WS01;OR08194;P00455;
PickOrder;WS01;OR08194;P00455;
PickOrder;WS01;OR08194;P00455;
PickOrder;WS01;OR08194;P00444;
RemoveProduct;WS01;P00286;
AssignProduct;WS01;P00202;
PickOrder;WS01;OR08194;P00202;
PickOrder;WS01;OR08194;P00202;
StartOrder;WS01;OR04839;
PickOrder;WS01;OR04839;P00202;
PickOrder;WS01;OR04839;P00202;
RemoveProduct;WS01;P00202;
AssignProduct;WS01;P00433;
PickOrder;WS01;OR04839;P00433;
PickOrder;WS01;OR04839;P00433;
StartOrder;WS01;OR08341;
PickOrder;WS01;OR08341;P00455;
PickOrder;WS01;OR08341;P00455;
RemoveProduct;WS01;P00433;
AssignProduct;WS01;P00279;
PickOrder;WS01;OR08341;P00279;
PickOrder;WS01;OR08341;P00279;
StartOrder;WS01;OR03872;
PickOrder;WS01;OR03872;P00279;
PickOrder;WS01;OR03872;P00455;
StartOrder;WS01;OR07794;
PickOrder;WS01;OR07794;P00455;
PickOrder;WS01;OR07794;P00279;
PickOrder;WS01;OR07794;P00279;
PickOrder;WS01;OR07794;P00279;
RemoveProduct;WS01;P00444;
AssignProduct;WS01;P00122;
PickOrder;WS01;OR07794;P00122;
PickOrder;WS01;OR07794;P00122;
StartOrder;WS01;OR09314;
PickOrder;WS01;OR09314;P00122;
PickOrder;WS01;OR09314;P00455;
StartOrder;WS01;OR05001;
PickOrder;WS01;OR05001;P00122;
PickOrder;WS01;OR05001;P00122;
PickOrder;WS01;OR05001;P00122;
RemoveProduct;WS01;P00122;
AssignProduct;WS01;P00289;
PickOrder;WS01;OR05001;P00289;
PickOrder;WS01;OR05001;P00289;
StartOrder;WS01;OR07424;
PickOrder;WS01;OR07424;P00279;
PickOrder;WS01;OR07424;P00279;
RemoveProduct;WS01;P00279;
AssignProduct;WS01;P00113;
PickOrder;WS01;OR07424;P00113;
PickOrder;WS01;OR07424;P00113;
StartOrder;WS01;OR02749;
PickOrder;WS01;OR02749;P00113;
PickOrder;WS01;OR02749;P00113;
PickOrder;WS01;OR02749;P00113;
RemoveProduct;WS01;P00289;
AssignProduct;WS01;P00345;
PickOrder;WS01;OR02749;P00345;
StartOrder;WS01;OR06260;
PickOrder;WS01;OR06260;P00455;
PickOrder;WS01;OR06260;P00345;
PickOrder;WS01;OR06260;P00345;
PickOrder;WS01;OR06260;P00496;
RemoveProduct;WS01;P00345;
AssignProduct;WS01;P00268;
PickOrder;WS01;OR06260;P00268;
PickOrder;WS01;OR06260;P00268;
StartOrder;WS01;OR02194;
PickOrder;WS01;OR02194;P00455;
PickOrder;WS01;OR02194;P00113;
PickOrder;WS01;OR02194;P00455;
PickOrder;WS01;OR02194;P00455;
PickOrder;WS01;OR02194;P00455;
PickOrder;WS01;OR02194;P00455;
RemoveProduct;WS01;P00268;
AssignProduct;WS01;P00403;
PickOrder;WS01;OR02194;P00403;
StartOrder;WS01;OR02876;
PickOrder;WS01;OR02876;P00113;
PickOrder;WS01;OR02876;P00113;
RemoveProduct;WS01;P00403;
AssignProduct;WS01;P00318;
PickOrder;WS01;OR02876;P00318;
PickOrder;WS01;OR02876;P00318;
StartOrder;WS01;OR07365;
PickOrder;WS01;OR07365;P00455;
PickOrder;WS01;OR07365;P00318;
PickOrder;WS01;OR07365;P00318;
RemoveProduct;WS01;P00318;
AssignProduct;WS01;P00300;
PickOrder;WS01;OR07365;P00300;
PickOrder;WS01;OR07365;P00300;
StartOrder;WS01;OR01774;
PickOrder;WS01;OR01774;P00455;
PickOrder;WS01;OR01774;P00455;
PickOrder;WS01;OR01774;P00300;
PickOrder;WS01;OR01774;P00455;
StartOrder;WS01;OR04395;
PickOrder;WS01;OR04395;P00300;
PickOrder;WS01;OR04395;P00300;
PickOrder;WS01;OR04395;P00300;
PickOrder;WS01;OR04395;P00455;
PickOrder;WS01;OR04395;P00455;
StartOrder;WS01;OR04896;
PickOrder;WS01;OR04896;P00113;
PickOrder;WS01;OR04896;P00113;
RemoveProduct;WS01;P00113;
AssignProduct;WS01;P00206;
PickOrder;WS01;OR04896;P00206;
PickOrder;WS01;OR04896;P00206;
StartOrder;WS01;OR07422;
PickOrder;WS01;OR07422;P00455;
PickOrder;WS01;OR07422;P00206;
PickOrder;WS01;OR07422;P00206;
PickOrder;WS01;OR07422;P00300;
PickOrder;WS01;OR07422;P00455;
PickOrder;WS01;OR07422;P00206;
PickOrder;WS01;OR07422;P00455;
StartOrder;WS01;OR05683;
PickOrder;WS01;OR05683;P00206;
PickOrder;WS01;OR05683;P00455;
PickOrder;WS01;OR05683;P00206;
PickOrder;WS01;OR05683;P00455;
RemoveProduct;WS01;P00300;
AssignProduct;WS01;P00247;
PickOrder;WS01;OR05683;P00247;
PickOrder;WS01;OR05683;P00247;
StartOrder;WS01;OR01537;
PickOrder;WS01;OR01537;P00247;
PickOrder;WS01;OR01537;P00455;
PickOrder;WS01;OR01537;P00455;
StartOrder;WS01;OR04271;
PickOrder;WS01;OR04271;P00247;
PickOrder;WS01;OR04271;P00247;
PickOrder;WS01;OR04271;P00247;
RemoveProduct;WS01;P00247;
AssignProduct;WS01;P00492;
PickOrder;WS01;OR04271;P00492;
PickOrder;WS01;OR04271;P00492;
PickOrder;WS01;OR04271;P00492;
StartOrder;WS01;OR06261;
PickOrder;WS01;OR06261;P00206;
PickOrder;WS01;OR06261;P00206;
PickOrder;WS01;OR06261;P00455;
PickOrder;WS01;OR06261;P00455;
RemoveProduct;WS01;P00492;
AssignProduct;WS01;P00260;
PickOrder;WS01;OR06261;P00260;
PickOrder;WS01;OR06261;P00260;
PickOrder;WS01;OR06261;P00260;
StartOrder;WS01;OR01957;
PickOrder;WS01;OR01957;P00455;
PickOrder;WS01;OR01957;P00455;
PickOrder;WS01;OR01957;P00206;
PickOrder;WS01;OR01957;P00455;
PickOrder;WS01;OR01957;P00206;
RemoveProduct;WS01;P00260;
AssignProduct;WS01;P00337;
PickOrder;WS01;OR01957;P00337;
StartOrder;WS01;OR08943;
PickOrder;WS01;OR08943;P00337;
PickOrder;WS01;OR08943;P00206;
PickOrder;WS01;OR08943;P00206;
PickOrder;WS01;OR08943;P00337;
StartOrder;WS01;OR01763;
PickOrder;WS01;OR01763;P00455;
PickOrder;WS01;OR01763;P00455;
PickOrder;WS01;OR01763;P00206;
PickOrder;WS01;OR01763;P00455;
PickOrder;WS01;OR01763;P00206;
PickOrder;WS01;OR01763;P00455;
PickOrder;WS01;OR01763;P00455;
RemoveProduct;WS01;P00337;
AssignProduct;WS01;P00299;
PickOrder;WS01;OR01763;P00299;
StartOrder;WS01;OR09537;
PickOrder;WS01;OR09537;P00206;
PickOrder;WS01;OR09537;P00299;
PickOrder;WS01;OR09537;P00206;
PickOrder;WS01;OR09537;P00299;
PickOrder;WS01;OR09537;P00206;
StartOrder;WS01;OR04712;
PickOrder;WS01;OR04712;P00206;
PickOrder;WS01;OR04712;P00455;
PickOrder;WS01;OR04712;P00206;
RemoveProduct;WS01;P00299;
AssignProduct;WS01;P00068;
PickOrder;WS01;OR04712;P00068;
StartOrder;WS01;OR08724;
PickOrder;WS01;OR08724;P00068;
PickOrder;WS01;OR08724;P00068;
PickOrder;WS01;OR08724;P00206;
PickOrder;WS01;OR08724;P00206;
StartOrder;WS01;OR04450;
PickOrder;WS01;OR04450;P00455;
PickOrder;WS01;OR04450;P00206;
PickOrder;WS01;OR04450;P00206;
PickOrder;WS01;OR04450;P00206;
PickOrder;WS01;OR04450;P00206;
RemoveProduct;WS01;P00068;
AssignProduct;WS01;P00360;
PickOrder;WS01;OR04450;P00360;
StartOrder;WS01;OR06770;
PickOrder;WS01;OR06770;P00206;
PickOrder;WS01;OR06770;P00455;
RemoveProduct;WS01;P00360;
AssignProduct;WS01;P00249;
PickOrder;WS01;OR06770;P00249;
StartOrder;WS01;OR09891;
PickOrder;WS01;OR09891;P00249;
PickOrder;WS01;OR09891;P00455;
StartOrder;WS01;OR04249;
PickOrder;WS01;OR04249;P00249;
PickOrder;WS01;OR04249;P00249;
RemoveProduct;WS01;P00249;
AssignProduct;WS01;P00096;
PickOrder;WS01;OR04249;P00096;
StartOrder;WS01;OR02074;
PickOrder;WS01;OR02074;P00096;
PickOrder;WS01;OR02074;P00455;
PickOrder;WS01;OR02074;P00206;
PickOrder;WS01;OR02074;P00206;
StartOrder;WS01;OR02746;
PickOrder;WS01;OR02746;P00206;
PickOrder;WS01;OR02746;P00455;
PickOrder;WS01;OR02746;P00206;
PickOrder;WS01;OR02746;P00455;
PickOrder;WS01;OR02746;P00206;
PickOrder;WS01;OR02746;P00206;
PickOrder;WS01;OR02746;P00455;
RemoveProduct;WS01;P00096;
AssignProduct;WS01;P00469;
PickOrder;WS01;OR02746;P00469;
PickOrder;WS01;OR02746;P00469;
StartOrder;WS01;OR07316;
PickOrder;WS01;OR07316;P00455;
PickOrder;WS01;OR07316;P00469;
StartOrder;WS01;OR03129;
PickOrder;WS01;OR03129;P00206;
PickOrder;WS01;OR03129;P00469;
PickOrder;WS01;OR03129;P00469;
RemoveProduct;WS01;P00455;
AssignProduct;WS01;P00129;
PickOrder;WS01;OR03129;P00129;
PickOrder;WS01;OR03129;P00129;
StartOrder;WS01;OR03765;
PickOrder;WS01;OR03765;P00129;
StartOrder;WS01;OR07102;
PickOrder;WS01;OR07102;P00206;
PickOrder;WS01;OR07102;P00129;
PickOrder;WS01;OR07102;P00129;
PickOrder;WS01;OR07102;P00206;
RemoveProduct;WS01;P00129;
AssignProduct;WS01;P00064;
PickOrder;WS01;OR07102;P00064;
PickOrder;WS01;OR07102;P00064;
StartOrder;WS01;OR06687;
PickOrder;WS01;OR06687;P00064;
StartOrder;WS01;OR07567;
PickOrder;WS01;OR07567;P00064;
StartOrder;WS01;OR08379;
PickOrder;WS01;OR08379;P00206;
PickOrder;WS01;OR08379;P00469;
PickOrder;WS01;OR08379;P00206;
PickOrder;WS01;OR08379;P00206;
PickOrder;WS01;OR08379;P00206;
RemoveProduct;WS01;P00064;
AssignProduct;WS01;P00401;
PickOrder;WS01;OR08379;P00401;
StartOrder;WS01;OR08986;
PickOrder;WS01;OR08986;P00401;
PickOrder;WS01;OR08986;P00401;
RemoveProduct;WS01;P00206;
AssignProduct;WS01;P00281;
PickOrder;WS01;OR03756;P00281;
StartOrder;WS01;OR06435;
PickOrder;WS01;OR06435;P00469;
PickOrder;WS01;OR06435;P00469;
PickOrder;WS01;OR06435;P00469;
RemoveProduct;WS01;P00281;
AssignProduct;WS01;P00188;
PickOrder;WS01;OR06435;P00188;
StartOrder;WS01;OR04084;
PickOrder;WS01;OR04084;P00469;
RemoveProduct;WS01;P00188;
AssignProduct;WS01;P00239;
PickOrder;WS01;OR04084;P00239;
StartOrder;WS01;OR00623;
PickOrder;WS01;OR00623;P00239;
StartOrder;WS01;OR05680;
PickOrder;WS01;OR05680;P00239;
PickOrder;WS01;OR05680;P00239;
PickOrder;WS01;OR05680;P00239;
StartOrder;WS01;OR04348;
RemoveProduct;WS01;P00239;
AssignProduct;WS01;P00197;
PickOrder;WS01;OR04348;P00197;
PickOrder;WS01;OR04348;P00197;
StartOrder;WS01;OR04177;
RemoveProduct;WS01;P00197;
AssignProduct;WS01;P00466;
PickOrder;WS01;OR04177;P00466;
StartOrder;WS01;OR02829;
PickOrder;WS01;OR02829;P00466;
PickOrder;WS01;OR02829;P00466;
RemoveProduct;WS01;P00466;
AssignProduct;WS01;P00206;
PickOrder;WS01;OR02829;P00206;
PickOrder;WS01;OR02829;P00206;
PickOrder;WS01;OR02829;P00206;
StartOrder;WS01;OR00441;
PickOrder;WS01;OR00441;P00206;
PickOrder;WS01;OR00441;P00206;
PickOrder;WS01;OR00441;P00206;
RemoveProduct;WS01;P00401;
AssignProduct;WS01;P00422;
PickOrder;WS01;OR00441;P00422;
PickOrder;WS01;OR00441;P00422;
PickOrder;WS01;OR00441;P00422;
StartOrder;WS01;OR03131;
PickOrder;WS01;OR03131;P00206;
RemoveProduct;WS01;P00422;
AssignProduct;WS01;P00312;
PickOrder;WS01;OR03131;P00312;
PickOrder;WS01;OR03131;P00312;
StartOrder;WS01;OR07569;
PickOrder;WS01;OR07569;P00206;
PickOrder;WS01;OR07569;P00206;
RemoveProduct;WS01;P00312;
AssignProduct;WS01;P00406;
PickOrder;WS01;OR07569;P00406;
PickOrder;WS01;OR07569;P00406;
StartOrder;WS01;OR09000;
PickOrder;WS01;OR09000;P00206;
PickOrder;WS01;OR09000;P00206;
PickOrder;WS01;OR09000;P00406;
PickOrder;WS01;OR09000;P00206;
PickOrder;WS01;OR09000;P00406;
PickOrder;WS01;OR09000;P00206;
PickOrder;WS01;OR09000;P00206;
StartOrder;WS01;OR07968;
PickOrder;WS01;OR07968;P00206;
PickOrder;WS01;OR07968;P00206;
RemoveProduct;WS01;P00406;
AssignProduct;WS01;P00274;
PickOrder;WS01;OR07968;P00274;
PickOrder;WS01;OR07968;P00274;
PickOrder;WS01;OR07968;P00274;
StartOrder;WS01;OR07136;
PickOrder;WS01;OR07136;P00274;
PickOrder;WS01;OR07136;P00206;
PickOrder;WS01;OR07136;P00206;
PickOrder;WS01;OR07136;P00206;
RemoveProduct;WS01;P00274;
AssignProduct;WS01;P00487;
PickOrder;WS01;OR07136;P00487;
PickOrder;WS01;OR07136;P00487;
StartOrder;WS01;OR04265;
PickOrder;WS01;OR04265;P00206;
RemoveProduct;WS01;P00469;
AssignProduct;WS01;P00106;
PickOrder;WS01;OR04265;P00106;
PickOrder;WS01;OR04265;P00106;
StartOrder;WS01;OR04268;
PickOrder;WS01;OR04268;P00206;
PickOrder;WS01;OR04268;P00206;
PickOrder;WS01;OR04268;P00206;
PickOrder;WS01;OR04268;P00206;
RemoveProduct;WS01;P00106;
AssignProduct;WS01;P00397;
PickOrder;WS01;OR04268;P00397;
PickOrder;WS01;OR04268;P00397;
PickOrder;WS01;OR04268;P00397;
StartOrder;WS01;OR08174;
PickOrder;WS01;OR08174;P00206;
RemoveProduct;WS01;P00397;
AssignProduct;WS01;P00417;
PickOrder;WS01;OR08174;P00417;
PickOrder;WS01;OR08174;P00417;
PickOrder;WS01;OR08174;P00417;
StartOrder;WS01;OR04223;
PickOrder;WS01;OR04223;P00206;
PickOrder;WS01;OR04223;P00206;
RemoveProduct;WS01;P00206;
AssignProduct;WS01;P00139;
PickOrder;WS01;OR04223;P00139;
PickOrder;WS01;OR04223;P00139;
StartOrder;WS01;OR00119;
PickOrder;WS01;OR00119;P00487;
PickOrder;WS01;OR00119;P00487;
RemoveProduct;WS01;P00139;
AssignProduct;WS01;P00012;
PickOrder;WS01;OR00119;P00012;
PickOrder;WS01;OR00119;P00012;
